ID	AFR	EUR	AMR
RP-1847_10022781	1	1	0
RP-1847_10022799	0	2	0
RP-1847_10022820	2	0	0
RP-1847_10022822	2	0	0
RP-1847_10022829	0	1	1
RP-1847_10022836	0	2	0
RP-1847_10023033	1	1	0
RP-1847_10023040	2	0	0
RP-1847_10023041	1	0	1
RP-1847_10023042	0	2	0
RP-1847_10023047	0	2	0
RP-1847_10023263	0	2	0
RP-1847_10023631	1	1	0
RP-1847_10023648	2	0	0
RP-1847_10023677	2	0	0
RP-1847_10023754	2	0	0
RP-1847_10023763	1	1	0
RP-1847_10023787	0	2	0
RP-1847_10023935	2	0	0
RP-1847_10024000	0	2	0
RP-1847_10024170	0	2	0
RP-1847_10024181	2	0	0
RP-1847_10024205	0	2	0
RP-1847_10024282	2	0	0
RP-1847_10024284	0	2	0
RP-1847_10024416	0	2	0
RP-1847_10024418	2	0	0
RP-1847_10024426	2	0	0
RP-1847_10024446	2	0	0
RP-1847_10024461	2	0	0
RP-1847_10024505	2	0	0
RP-1847_10024509	0	1	1
RP-1847_10024681	0	1	1
RP-1847_10024683	2	0	0
RP-1847_10024775	2	0	0
RP-1847_10024901	2	0	0
RP-1847_10024914	0	2	0
RP-1847_10024919	2	0	0
RP-1847_10024921	1	1	0
RP-1847_10025235	2	0	0
RP-1847_10025459	0	2	0
RP-1847_10025751	0	2	0
RP-1847_10025799	2	0	0
RP-1847_10025868	2	0	0
RP-1847_10025975	0	2	0
RP-1847_10026054	2	0	0
RP-1847_10026088	0	1	1
RP-1847_10026098	0	2	0
RP-1847_10026106	0	2	0
RP-1847_10026112	0	2	0
RP-1847_10026167	2	0	0
RP-1847_10026302	0	2	0
RP-1847_10026329	2	0	0
RP-1847_10026337	2	0	0
RP-1847_10026344	2	0	0
RP-1847_10026346	0	1	1
RP-1847_10026351	0	2	0
RP-1847_10026352	2	0	0
RP-1847_10026363	2	0	0
RP-1847_10026368	0	2	0
RP-1847_10026391	0	2	0
RP-1847_10026393	0	2	0
RP-1847_10026395	1	1	0
RP-1847_10026471	2	0	0
RP-1847_10026563	0	2	0
RP-1847_10026605	2	0	0
RP-1847_10026762	0	2	0
RP-1847_10026806	1	1	0
RP-1847_10026824	1	1	0
RP-1847_10026826	2	0	0
RP-1847_10026906	2	0	0
RP-1847_10027036	0	2	0
RP-1847_10027138	0	2	0
RP-1847_10027174	1	1	0
RP-1847_10027240	0	1	1
RP-1847_10027250	2	0	0
RP-1847_10027356	2	0	0
RP-1847_10027427	2	0	0
RP-1847_10027436	0	2	0
RP-1847_10027441	2	0	0
RP-1847_10027739	1	1	0
RP-1847_10027837	2	0	0
RP-1847_10027856	2	0	0
RP-1847_10027885	0	2	0
RP-1847_10027898	1	1	0
RP-1847_10027924	2	0	0
RP-1847_10027934	0	2	0
RP-1847_10027966	2	0	0
RP-1847_10027991	0	1	1
